rank,slug,docket,application,application_status,customer_number,title,disorder,active_pair,doi,doi_url,zenodo_url,github_url,published,paper_status,patent_status
21,vascular_neurocognitive_disorder,MHMDCNS-021,"64/076,311",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Vascular Neurocognitive Disorder with a combination of pitolisant and xanomeline,Vascular Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609321,https://doi.org/10.5281/zenodo.20609321,https://zenodo.org/records/20609321,https://github.com/danbroz/Med-discovery-public/tree/main/vascular_neurocognitive_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
22,lewy_body_disease,MHMDCNS-022,"64/076,313",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Lewy Body Disease with a combination of pitolisant and xanomeline,Lewy Body Disease,pitolisant + xanomeline,10.5281/zenodo.20609323,https://doi.org/10.5281/zenodo.20609323,https://zenodo.org/records/20609323,https://github.com/danbroz/Med-discovery-public/tree/main/lewy_body_disease,True,DOI-indexed Zenodo preprint,US provisional patent pending
23,schizoaffective_disorder,MHMDCNS-023,"64/076,315",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Schizoaffective Disorder with a combination of xanomeline and perospirone,Schizoaffective Disorder,xanomeline + perospirone,10.5281/zenodo.20609325,https://doi.org/10.5281/zenodo.20609325,https://zenodo.org/records/20609325,https://github.com/danbroz/Med-discovery-public/tree/main/schizoaffective_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
24,premenstrual_dysphoric_disorder,MHMDCNS-024,"64/076,319",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Premenstrual Dysphoric Disorder with a combination of agomelatine and vilazodone,Premenstrual Dysphoric Disorder,agomelatine + vilazodone,10.5281/zenodo.20609327,https://doi.org/10.5281/zenodo.20609327,https://zenodo.org/records/20609327,https://github.com/danbroz/Med-discovery-public/tree/main/premenstrual_dysphoric_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
25,adjustment_disorder,MHMDCNS-025,"64/076,320",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Adjustment Disorder with a combination of agomelatine and vilazodone,Adjustment Disorder,agomelatine + vilazodone,10.5281/zenodo.20609329,https://doi.org/10.5281/zenodo.20609329,https://zenodo.org/records/20609329,https://github.com/danbroz/Med-discovery-public/tree/main/adjustment_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
26,opioid_withdrawal,MHMDCNS-026,"64/076,322",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Opioid Withdrawal with a combination of sufentanil and oxymetazoline,Opioid Withdrawal,sufentanil + oxymetazoline,10.5281/zenodo.20609331,https://doi.org/10.5281/zenodo.20609331,https://zenodo.org/records/20609331,https://github.com/danbroz/Med-discovery-public/tree/main/opioid_withdrawal,True,DOI-indexed Zenodo preprint,US provisional patent pending
27,hypersomnolence_disorder,MHMDCNS-027,"64/076,326",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Hypersomnolence Disorder with a combination of pitolisant and Nag 26,Hypersomnolence Disorder,pitolisant + Nag 26,10.5281/zenodo.20609333,https://doi.org/10.5281/zenodo.20609333,https://zenodo.org/records/20609333,https://github.com/danbroz/Med-discovery-public/tree/main/hypersomnolence_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
28,borderline_personality_disorder,MHMDCNS-028,"64/076,327",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Borderline Personality Disorder with a combination of pimavanserin and perospirone,Borderline Personality Disorder,pimavanserin + perospirone,10.5281/zenodo.20609335,https://doi.org/10.5281/zenodo.20609335,https://zenodo.org/records/20609335,https://github.com/danbroz/Med-discovery-public/tree/main/borderline_personality_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
29,disruptive_mood_dysregulation_disorder,MHMDCNS-029,"64/076,329",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Disruptive Mood Dysregulation Disorder with a combination of agomelatine and suvorexant,Disruptive Mood Dysregulation Disorder,agomelatine + suvorexant,10.5281/zenodo.20609337,https://doi.org/10.5281/zenodo.20609337,https://zenodo.org/records/20609337,https://github.com/danbroz/Med-discovery-public/tree/main/disruptive_mood_dysregulation_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
30,specific_phobia,MHMDCNS-030,"64/076,332",Patent Center receipt confirmed,,Pharmaceutical compositions and methods of treating Specific Phobia with a combination of agomelatine and vilazodone,Specific Phobia,agomelatine + vilazodone,10.5281/zenodo.20609341,https://doi.org/10.5281/zenodo.20609341,https://zenodo.org/records/20609341,https://github.com/danbroz/Med-discovery-public/tree/main/specific_phobia,True,DOI-indexed Zenodo preprint,US provisional patent pending
